FishID,dataset,mig.bool2,mig.bool,stray.bool2,stray.bool,prbt,old.std.prbt,F1,HybridClasses3,HC3.int,HybridClasses2,HC2.int
PIT_96370,migration,1,1,NA,NA,0.297682709,1.105943361,NA,LHyb,2,WCT/LHyb,1
PIT_87728,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_96033,migration,1,1,NA,NA,0.001157407,-0.618692627,NA,WCT,1,WCT/LHyb,1
PIT_713531,migration,1,1,NA,NA,0.49535316,2.255624589,NA,LHyb,2,WCT/LHyb,1
PIT_254136,migration,1,1,NA,NA,0.00173913,-0.615309238,NA,WCT,1,WCT/LHyb,1
PIT_254057,migration,1,1,NA,NA,0.022429907,-0.494968551,NA,LHyb,2,WCT/LHyb,1
PIT_96357,migration,1,1,NA,NA,0.00448833,-0.599319475,NA,WCT,1,WCT/LHyb,1
PIT_7443068,migration,1,1,NA,NA,0.006108202,-0.589898055,NA,LHyb,2,WCT/LHyb,1
PIT_7416981,migration,1,1,NA,NA,0.520295203,2.400691282,NA,HHyb,3,HHyb,2
PIT_254062,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_96384,migration,1,1,NA,NA,0.011504425,-0.558512806,NA,LHyb,2,WCT/LHyb,1
PIT_96388,migration,1,1,NA,NA,0.266784452,0.926234427,NA,LHyb,2,WCT/LHyb,1
PIT_254128,migration,1,1,NA,NA,0.517475728,2.38429279,NA,HHyb,3,HHyb,2
PIT_96420,migration,1,1,NA,NA,0.022648084,-0.4936996,NA,LHyb,2,WCT/LHyb,1
PIT_96412,migration,1,1,NA,NA,0.119964974,0.072310145,NA,LHyb,2,WCT/LHyb,1
PIT_96374,migration,1,1,NA,NA,0.000868056,-0.620375536,NA,WCT,1,WCT/LHyb,1
PIT_96424,migration,1,1,NA,NA,0.02,-0.509101257,NA,LHyb,2,WCT/LHyb,1
PIT_254054,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139634,migration,1,1,NA,NA,0.684724689,0.910320056,NA,HHyb,3,HHyb,2
PIT_139610,migration,1,1,NA,NA,0.8671875,1.473137649,NA,HHyb,3,HHyb,2
PIT_139598,migration,1,1,NA,NA,0.312829525,-0.236813103,NA,LHyb,2,WCT/LHyb,1
PIT_139614,migration,1,1,NA,NA,0,-1.201754721,NA,WCT,1,WCT/LHyb,1
PIT_139678,migration,1,1,NA,NA,0.025173611,-1.124105193,NA,LHyb,2,WCT/LHyb,1
PIT_139605,migration,1,1,NA,NA,0,-1.201754721,NA,WCT,1,WCT/LHyb,1
PIT_139654,migration,1,1,NA,NA,0.849220104,1.417716127,NA,HHyb,3,HHyb,2
PIT_139584,migration,1,1,NA,NA,0.540035587,0.464017757,NA,HHyb,3,HHyb,2
PIT_139653,migration,1,1,NA,NA,0.168402778,-0.682306152,NA,LHyb,2,WCT/LHyb,1
PIT_139626,migration,1,1,NA,NA,0.039335664,-1.080421482,NA,LHyb,2,WCT/LHyb,1
